Frame Count,Frame Time (ns)
0,804948
1,461068
2,18029924
3,1145758
4,824798
5,486811
6,474779
7,368196
8,480163
9,461665
10,353784
11,238630
12,393342
13,357852
14,228946
15,442742
16,311405
17,398328
18,362984
19,236168
20,243254
21,379808
22,467506
23,414321
24,368601
25,368578
26,408070
27,398091
28,418693
29,336793
30,408349
31,383960
32,295305
33,369124
34,439104
35,395879
36,399835
37,325205
38,349730
39,292627
40,502985
41,317973
42,337969
43,244303
44,393836
45,376822
46,332151
47,224929
48,427618
49,507423
50,428168
51,413309
52,423246
53,566336
54,406647
55,374797
56,338944
57,387295
58,463568
59,308577
60,350150
61,383675
62,303683
63,317941
64,232117
65,361720
66,412232
67,398674
68,222348
69,347206
70,248330
71,395884
72,360208
73,303544
74,316182
75,239633
76,408993
77,397167
78,391060
79,351932
80,308759
81,500471
82,506261
83,443634
84,366096
85,381086
86,451276
87,325755
88,339196
89,391942
90,400470
91,316583
92,319723
93,324379
94,273415
95,395950
96,320255
97,229221
98,254870
99,445803
100,359271
101,324463
102,224630
103,253536
104,384235
105,453706
106,431611
107,351872
108,442850
109,416164
110,376066
111,484758
112,459640
113,397116
114,338011
115,251268
116,395893
117,455586
118,337801
119,341393
120,265811
121,412707
122,469848
123,341099
124,357848
125,340931
126,299163
127,485607
128,333415
129,380581
130,395460
131,419617
132,475591
133,343619
134,395740
135,405093
136,435180
137,458595
138,345098
139,404282
140,373514
141,335687
142,436188
143,333505
144,408028
145,397648
146,425612
147,376798
148,416421
149,399458
150,409142
151,351694
152,391867
153,414573
154,260842
155,462771
156,337866
157,455348
158,402859
159,506070
160,472237
161,446946
162,450538
163,486303
164,425332
165,445989
166,485020
167,432679
168,373878
169,427454
170,554276
171,450291
172,389931
173,535922
174,505383
175,394023
176,433085
177,431331
178,506316
179,375137
180,561102
181,633894
182,601788
183,484759
184,475325
185,585566
186,425411
187,536156
188,503229
189,470683
190,405033
191,503634
192,506340
193,407519
194,478520
195,516953
196,426498
197,481372
198,462626
199,515027
200,511873
201,402616
202,494863
203,521819
204,451010
205,545286
206,406092
207,558862
208,501974
209,505514
210,465980
211,614090
212,585315
213,607810
214,647064
215,562645
216,638014
217,562744
218,639418
219,492899
220,526326
221,613670
222,486302
223,647335
224,521423
225,489950
226,527012
227,536981
228,514332
229,542832
230,556646
231,514183
232,610559
233,545468
234,529676
235,570427
236,645114
237,514472
238,640626
239,566807
240,632238
241,561013
242,669257
243,522720
244,670018
245,559809
246,622422
247,563588
248,696838
249,643001
250,686645
251,670083
252,681401
253,751287
254,827005
255,743216
256,731544
257,743772
258,769864
259,815747
260,920223
261,838827
262,973412
263,1027278
264,976682
265,865676
266,969227
267,876705
268,811325
269,801038
270,776722
271,807924
272,690526
273,714208
274,713853
275,789566
276,617705
277,780464
278,608085
279,711254
280,669309
281,740720
282,715458
283,777451
284,786216
285,851997
286,751138
287,821682
288,817442
289,842022
290,658429
291,722540
292,742862
293,533987
294,649751
295,632826
296,543947
297,549354
298,634328
299,482029
300,704215
301,598685
302,617976
303,542025
304,665366
305,501143
306,616731
307,653199
308,555359
309,627726
310,545561
311,513851
312,494378
313,526960
314,446614
315,524017
316,519524
317,483517
318,390384
319,536221
320,512573
321,504880
322,472497
323,640761
324,503359
325,437750
326,541246
327,508981
328,465351
329,479202
330,504436
331,534304
332,510152
333,523079
334,608701
335,444254
336,446144
337,553389
338,479818
339,385088
340,617089
341,446722
342,483969
343,541955
344,610068
345,577458
346,603672
347,554332
348,633302
349,418940
350,633675
351,499664
352,445350
353,567147
354,507963
355,510660
356,524777
357,441077
358,482327
359,470440
360,567306
361,526415
362,446149
363,600953
364,505986
365,485924
366,528192
367,603560
368,432073
369,582715
370,639199
371,538064
372,668986
373,612061
374,610680
375,645352
376,564750
377,628772
378,551435
379,658793
380,587759
381,659203
382,801472
383,559356
384,731670
385,735757
386,674380
387,876444
388,674072
389,821388
390,642908
391,634398
392,657897
393,678420
394,613003
395,568972
396,657794
397,499724
398,640122
399,525290
400,491668
401,536646
402,601363
403,434391
404,631878
405,504385
406,525155
407,523378
408,628049
409,476253
410,462113
411,623845
412,400489
413,623160
414,502379
415,531313
416,525837
417,634809
418,492662
419,570632
420,536949
421,579413
422,533250
423,460643
424,504903
425,520699
426,580593
427,434685
428,601283
429,516748
430,552633
431,529317
432,602137
433,496846
434,452820
435,627460
436,476911
437,537845
438,560681
439,499617
440,541689
441,633740
442,483182
443,550749
444,531243
445,494406
446,532228
447,532960
448,523587
449,644923
450,770863
451,591351
452,699652
453,755579
454,542122
455,714903
456,706729
457,546733
458,669975
459,636983
460,522957
461,549816
462,648628
463,521750
464,635872
465,585986
466,605100
467,535335
468,652266
469,519109
470,621447
471,565963
472,530446
473,542286
474,607307
475,489386
476,451312
477,603756
478,396868
479,651608
480,490683
481,443773
482,620566
483,515871
484,531099
485,511472
486,522981
487,541713
488,640071
489,559935
490,618843
491,539730
492,632728
493,498493
494,574108
495,557584
496,586541
497,522318
498,542095
499,490054
500,639511
501,514709
502,424188
503,636236
504,521600
505,534033
506,540466
507,668679
508,517322
509,649598
510,543256
511,541740
512,525911
513,614086
514,490225
515,470833
516,611388
517,485281
518,572624
519,556455
520,611328
521,540322
522,652877
523,537896
524,647433
525,589621
526,660677
527,624260
528,571748
529,607395
530,552983
531,639959
532,503732
533,554318
534,553460
535,492306
536,671739
537,551216
538,600248
539,555078
540,729705
541,541582
542,681177
543,562394
544,689733
545,654892
546,655196
547,556870
548,667298
549,603238
550,686155
551,791171
552,688408
553,730807
554,678602
555,728273
556,808960
557,695593
558,771442
559,829231
560,691809
561,810392
562,800740
563,726948
564,830066
565,749472
566,770900
567,878189
568,899075
569,687317
570,797744
571,812982
572,671623
573,668142
574,683300
575,680328
576,688997
577,637459
578,660123
579,549461
580,621956
581,550926
582,623331
583,559407
584,448500
585,645437
586,514752
587,556077
588,428560
589,599511
590,393971
591,621289
592,516603
593,408443
594,487469
595,491369
596,371680
597,454027
598,431102
599,425966
600,413169
601,360801
602,418045
603,551888
604,379541
605,390295
606,411695
607,568389
608,384598
609,391527
610,478493
611,423222
612,369595
613,426433
614,412996
615,497014
616,443577
617,388966
618,414383
619,416944
620,465896
621,377755
622,503457
623,494700
624,372707
625,385629
626,485463
627,458418
628,414770
629,470440
630,560205
631,457009
632,465612
633,451956
634,452586
635,537495
636,488462
637,465467
638,514541
639,442883
640,545136
641,404888
642,527399
643,498176
644,403648
645,470455
646,497616
647,412880
648,465127
649,427571
650,442453
651,474074
652,357638
653,377331
654,482780
655,457839
656,389352
657,371255
658,477704
659,396070
660,422822
661,462906
662,406092
663,526275
664,359826
665,451733
666,432087
667,415931
668,434727
669,350831
670,404744
671,491561
672,428574
673,358053
674,521605
675,395959
676,377708
677,467777
678,479729
679,417946
680,465500
681,359135
682,440027
683,412493
684,464170
685,433081
686,423731
687,476804
688,369007
689,369278
690,480657
691,490725
692,369277
693,375310
694,492694
695,417927
696,401389
697,432096
698,482860
699,401025
700,431065
701,394419
702,468397
703,431658
704,476184
705,412320
706,441021
707,505780
708,427534
709,364944
710,421110
711,474616
712,363190
713,384571
714,487501
715,396034
716,378301
717,374023
718,455418
719,386474
720,348788
721,339755
722,474887
723,416924
724,378875
725,392264
726,487291
727,481922
728,432660
729,490049
730,567740
731,482257
732,618760
733,545188
734,637589
735,495848
736,442533
737,599879
738,369408
739,425159
740,557318
741,351265
742,372063
743,484446
744,405103
745,360386
746,335608
747,389507
748,482532
749,319816
750,360805
751,377750
752,470944
753,369236
754,372236
755,410131
756,483643
757,337283
758,343404
759,334092
760,389479
761,409526
762,334959
763,338725
764,379640
765,316765
766,386945
767,313602
768,268311
769,401067
770,383684
771,430547
772,336686
773,277502
774,389273
775,377601
776,424445
777,335781
778,255393
779,407864
780,469032
781,365746
782,350159
783,374578
784,501674
785,385681
786,366063
787,356052
788,479972
789,398524
790,359971
791,329049
792,454355
793,389554
794,337461
795,261864
796,363926
797,358249
798,335029
799,316238
800,337623
801,297777
802,373216
803,300208
804,324878
805,320801
806,362588
807,287845
808,323969
809,220427
810,368428
811,365285
812,404347
813,316989
814,304776
815,237665
816,483363
817,373920
818,343978
819,258304
820,335809
821,351829
822,361398
823,307901
824,237240
825,288321
826,295767
827,379406
828,315356
829,307985
830,234819
831,359947
832,346978
833,250690
834,297628
835,226524
836,381440
837,307430
838,375146
839,231642
840,310537
841,223534
842,393645
843,373551
844,338557
845,287812
846,253975
847,376024
848,457065
849,318618
850,265284
851,340054
852,369688
853,301589
854,427496
855,286044
856,257661
857,392091
858,350453
859,267098
860,436193
861,317750
862,384473
863,278131
864,333579
865,237418
866,438441
867,346548
868,387729
869,244112
870,319084
871,239433
872,454583
873,356061
874,259979
875,319863
876,239032
877,345830
878,358099
879,356285
880,298463
881,243361
882,390528
883,353285
884,251554
885,393719
886,292828
887,301571
888,380306
889,226496
890,315291
891,245059
892,433389
893,335039
894,274563
895,325872
896,255248
897,370813
898,382929
899,319475
