Frame Count,Frame Time (ns)
0,681056
1,423633
2,13785203
3,974387
4,687088
5,674692
6,633829
7,394437
8,585319
9,481231
10,355338
11,368289
12,391345
13,411391
14,362294
15,351960
16,417956
17,422047
18,330225
19,342789
20,468966
21,395184
22,400951
23,349129
24,407752
25,391872
26,315785
27,227350
28,327411
29,386199
30,391666
31,362966
32,320362
33,267318
34,402635
35,371466
36,314073
37,324099
38,351284
39,380097
40,397857
41,235342
42,366311
43,235477
44,515661
45,380200
46,363376
47,327514
48,255794
49,380222
50,383703
51,348718
52,240576
53,416211
54,376056
55,405490
56,238174
57,324141
58,241168
59,402224
60,386805
61,258378
62,438347
63,331937
64,410309
65,398795
66,338314
67,233405
68,349982
69,389847
70,302204
71,458647
72,295197
73,252184
74,367081
75,379906
76,246478
77,332978
78,246417
79,394209
80,444883
81,320568
82,254548
83,364814
84,394503
85,397120
86,364276
87,256200
88,481652
89,358156
90,366801
91,343073
92,239381
93,411140
94,384571
95,341636
96,244821
97,437923
98,376546
99,393411
100,328624
101,234133
102,415352
103,372249
104,244929
105,335245
106,352613
107,401053
108,462272
109,362676
110,353569
111,420820
112,472553
113,333635
114,363796
115,396150
116,407282
117,321304
118,243501
119,414448
120,377129
121,401240
122,362140
123,260329
124,441581
125,377927
126,434803
127,352100
128,428275
129,423606
130,331769
131,369525
132,510576
133,405373
134,356505
135,340684
136,389997
137,381772
138,350122
139,332062
140,345275
141,397414
142,413524
143,370519
144,367188
145,500751
146,408233
147,382761
148,367043
149,416976
150,489073
151,396094
152,411177
153,424044
154,509120
155,462920
156,382742
157,419971
158,401734
159,376369
160,449162
161,502865
162,433846
163,388868
164,383241
165,493459
166,503881
167,368326
168,388779
169,429950
170,496286
171,372661
172,388102
173,418320
174,404590
175,475750
176,428766
177,425747
178,415889
179,355763
180,449852
181,405140
182,434569
183,366871
184,387832
185,427151
186,499668
187,446867
188,398436
189,438730
190,535493
191,465789
192,424650
193,434359
194,591538
195,387561
196,414881
197,529414
198,527273
199,498735
200,409404
201,456506
202,619012
203,474588
204,423521
205,472091
206,629406
207,490427
208,485561
209,629775
210,495932
211,496706
212,544814
213,509881
214,566942
215,557775
216,623854
217,567404
218,581060
219,514168
220,550390
221,552853
222,519198
223,544969
224,572396
