Frame Count,Frame Time (ns)
0,714334
1,448047
2,10381202
3,993650
4,667727
5,561241
6,459986
7,352255
8,397386
9,361767
10,340003
11,430943
12,319574
13,391172
14,271395
15,336901
16,219909
17,256672
18,387323
19,397582
20,450076
21,336336
22,337041
23,285050
24,405284
25,305219
26,243893
27,251185
28,363660
29,472074
30,329944
31,228833
32,352875
33,360940
34,296191
35,324407
36,230256
37,231035
38,360684
39,463993
40,325769
41,262325
42,325848
43,363628
44,264355
45,233209
46,313882
47,245315
48,369814
49,470515
50,315351
51,221724
52,265167
53,358132
54,356518
55,232467
56,237996
57,309095
58,249179
59,357642
60,271203
61,432423
62,295267
63,244261
64,360978
65,275206
66,332161
67,235523
68,253145
69,313219
70,339835
71,275300
72,241145
73,410202
74,301295
75,284789
76,389628
77,237007
78,336923
79,239661
80,372292
81,357698
82,222745
83,238659
84,413197
85,298795
86,299713
87,386521
88,221952
89,309618
90,220287
91,382672
92,259139
93,239713
94,305018
95,219344
96,232747
97,471849
98,403442
99,306660
100,218014
101,321211
102,267672
103,391457
104,229249
105,320161
106,236434
107,492414
108,357797
109,354009
110,222997
111,241043
112,377704
113,344733
114,240240
115,216251
116,326959
117,236643
118,466699
119,337657
120,262171
121,324911
122,229006
123,365890
124,275818
125,329608
126,216769
127,237721
128,416980
129,346194
130,371885
131,225563
132,247546
133,340077
134,365905
135,282036
136,315939
137,223814
138,230363
139,442715
140,357213
141,248255
142,335860
143,227592
144,365322
145,366889
146,237086
147,236447
148,315688
149,326408
150,383572
151,385943
152,315659
153,231847
154,244187
155,379690
156,368946
157,236335
158,411349
159,316882
160,286721
161,404342
162,301599
163,251101
164,259088
165,386698
166,363502
167,350794
168,336873
169,339070
170,384668
171,381291
172,249249
173,313005
174,236535
175,483433
176,375306
177,367300
178,316625
179,246165
180,399799
181,361053
182,242171
183,357274
184,323553
185,405635
186,382630
187,348084
188,225227
189,342462
190,487884
191,389553
192,343502
193,242320
194,413141
195,385774
196,326982
197,232594
198,450669
199,389815
200,423704
201,343647
202,250028
203,405910
204,490282
205,357983
206,374587
207,395744
208,408467
209,349930
210,453748
211,427085
212,415152
213,367510
214,357834
215,508990
216,471350
217,363502
218,272926
219,438571
220,389894
221,471042
222,339257
223,409147
224,434755
225,363348
226,456548
227,494425
228,429908
229,378795
230,364342
231,516753
232,491696
233,384944
234,363623
235,413515
236,512050
237,377162
238,381291
239,418707
240,418888
241,444249
242,349208
243,425845
244,435078
245,395068
246,446754
247,494616
248,443246
249,363731
250,474079
251,489288
252,424440
253,383105
254,378259
255,511303
256,496291
257,382406
258,372203
259,524838
260,411293
261,398053
262,380908
263,499323
264,519762
265,379878
266,389041
267,433487
268,601661
269,374508
270,389077
271,511658
272,505864
273,402275
274,392003
275,513725
276,418548
277,475036
278,358141
279,439771
280,500014
281,451807
282,372497
283,456766
284,436631
285,498666
286,465920
287,452554
288,533077
289,482141
290,497313
291,463396
292,617692
293,473477
294,478502
295,459318
296,592032
297,391443
298,556371
299,426507
300,476883
301,477504
302,459160
303,632276
304,490114
305,485887
306,649038
307,494080
308,481250
309,665021
310,518717
311,583620
312,655331
313,526816
314,570278
315,564661
316,514108
317,539884
318,642311
319,495591
320,480839
321,639301
322,506550
323,469531
324,656941
325,538484
326,702884
327,742909
328,659091
329,698737
330,726566
331,618069
332,832436
333,688632
334,667872
335,601148
336,730737
337,687508
338,825261
339,810238
340,843207
341,724844
342,818304
343,708931
344,714128
345,679806
346,666775
347,546294
348,589788
349,602128
350,545090
351,575764
352,602748
353,543621
354,495503
355,636521
356,560163
357,670419
358,525692
359,612406
360,657113
361,516459
362,574449
363,654538
364,529676
365,553516
366,562357
367,492927
368,566933
369,539636
370,494910
371,543158
372,557033
373,516235
374,552531
375,639357
376,521479
377,495381
378,658415
379,493151
380,567348
381,545710
382,515354
383,551799
384,539604
385,499841
386,524352
387,559748
388,514015
389,562837
