Frame Count,Frame Time (ns)
0,737813
1,471135
2,10914265
3,1098764
4,697534
5,606052
6,469311
7,373808
8,493981
9,390910
10,436416
11,319849
12,415119
13,405621
14,353197
15,240380
16,351928
17,479155
18,377848
19,343581
20,247635
21,390524
22,353864
23,230812
24,228217
25,409036
26,330738
27,399345
28,403899
29,242410
30,331559
31,229967
32,370066
33,278659
34,423652
35,288195
36,259760
37,365761
38,355828
39,241136
40,236158
41,322088
42,229123
43,387776
44,380045
45,356532
46,309618
47,238126
48,381734
49,372576
50,234203
51,332595
52,234959
53,467132
54,368480
55,317936
56,224009
57,223777
58,364127
59,265325
60,356919
61,221555
62,237996
63,326805
64,485089
65,375217
66,331405
67,256218
68,376243
69,373808
70,231590
71,227317
72,420475
73,295346
74,292501
75,387724
76,310929
77,246282
78,233685
79,372324
80,353075
81,256531
82,234539
83,435250
84,397961
85,375025
86,324267
87,242050
88,315291
89,282685
90,408466
91,410603
92,324533
93,255081
94,388882
95,366404
96,254567
97,333229
98,239932
99,367164
100,421949
101,245297
102,334736
103,235420
104,385840
105,353280
106,232579
107,259051
108,321258
109,322457
110,366301
111,361178
112,249417
113,332846
114,245890
115,407435
116,365326
117,239316
118,436113
119,320604
120,412637
121,413608
122,351699
123,258706
124,384856
125,355539
126,411560
127,249841
128,326119
129,374559
130,271237
131,361594
132,243921
133,333910
134,285078
135,465537
136,311950
137,329058
138,245844
139,397153
140,361469
141,246151
142,251394
143,446396
144,366110
145,402915
146,326268
147,245852
148,410034
149,377363
150,448406
151,349558
152,364183
153,405667
154,417811
155,355557
156,331988
157,398483
158,406027
159,331946
160,355991
161,248022
162,501563
163,383507
164,355734
165,347071
166,349632
167,414615
168,486325
169,454219
170,440779
171,505272
172,416654
173,466517
174,342004
175,449307
176,430463
177,358016
178,453272
179,510146
180,425429
181,380279
182,366465
183,517653
184,491495
185,385126
186,409022
187,523200
188,489564
189,401211
190,387655
191,440891
192,497546
193,457517
194,378926
195,407352
196,517093
197,371046
198,380326
199,445910
200,601396
201,357451
202,407780
203,511957
204,531397
205,368648
206,385518
207,419892
208,521498
209,451588
210,394126
211,442537
212,523252
213,451075
214,441277
215,517625
216,440209
217,504567
218,458717
219,455553
220,551001
221,490151
222,470767
223,458563
224,541932
225,452857
226,389814
227,460079
228,638891
229,485327
230,423876
231,467506
232,658545
233,467105
234,486270
235,648337
236,495885
237,564097
238,546461
239,498297
240,597346
241,652878
242,531071
243,599352
244,559991
245,530586
246,569275
247,677184
248,521274
249,692173
250,599087
251,559776
252,672547
253,568281
254,647274
255,647773
256,616478
257,681424
258,611943
259,699493
260,616982
261,705222
262,583723
263,657748
264,682404
265,644550
266,666784
267,710224
268,734077
269,661089
270,736928
271,711529
272,697147
273,698588
274,691558
275,688394
276,729883
277,741565
278,659418
279,732230
280,800166
281,560966
282,736433
283,714436
284,671809
285,694039
286,826450
287,593539
288,907300
289,694833
290,850528
291,697818
292,755374
293,801859
294,701019
295,871372
296,769883
297,848797
298,708777
299,860978
300,679185
301,751824
302,721709
303,774413
304,682199
305,841235
306,724397
307,709434
308,685431
309,668389
310,615257
311,635947
312,576530
313,825409
314,570544
315,724121
316,681900
317,600384
318,698112
319,692322
320,659166
321,695126
322,717454
323,694165
324,738836
325,705217
326,669033
327,696372
328,698691
329,564815
330,730111
331,750942
332,561941
333,694398
334,572205
335,644624
336,568043
337,594845
338,627811
339,575513
340,680822
341,522011
342,594985
343,673503
344,525524
345,577052
346,665459
347,557350
348,703426
349,697524
350,677659
351,588169
352,629630
353,644261
354,671851
355,705213
356,656078
357,731955
358,717412
359,694161
360,690316
361,640617
362,661545
363,679119
364,727881
365,669789
366,709733
367,716410
368,683225
369,706804
370,714935
371,665161
372,625595
373,691408
374,562697
375,831899
376,657160
377,690419
378,641573
379,817493
380,556926
381,601816
382,691422
383,634548
384,699092
385,705684
386,674673
387,722637
388,759615
389,679320
