Frame Count,Frame Time (ns)
0,434914
1,397443
2,9956198
3,701154
4,299554
5,158695
6,171865
7,205035
8,209799
9,155257
10,170345
11,174329
12,173545
13,159847
14,107335
15,271983
16,255514
17,181555
18,170037
19,120309
20,250406
21,149211
22,165805
23,169528
24,183319
25,320680
26,138994
27,175117
28,172873
29,164331
30,169981
31,119660
32,220701
33,210629
34,164456
35,171846
36,168851
37,163999
38,110633
39,231614
40,154198
41,182782
42,209450
43,172323
44,164816
45,168656
46,117188
47,232290
48,165339
49,155942
50,202115
51,198341
52,177571
53,167577
54,166234
55,113423
56,236219
57,246469
58,142889
59,187173
60,204943
61,171595
62,164004
63,166393
64,172738
65,117141
66,237128
67,156694
68,198005
69,188828
70,171744
71,179955
72,149416
73,111356
74,231301
75,161368
76,166286
77,193438
78,196778
79,165128
80,171940
81,120356
82,233634
83,152831
84,161126
85,172365
86,190947
87,200086
88,261481
89,143705
90,166151
91,122357
92,228717
93,165245
94,188567
95,197618
96,167069
97,169630
98,164518
99,126635
100,232874
101,143192
102,167578
103,188740
104,206001
105,174996
106,165684
107,108921
108,232916
109,156699
110,163715
111,167224
112,194091
113,216284
114,169691
115,172169
116,113367
117,324775
118,149211
119,163346
120,193065
121,213382
122,160393
123,170578
124,167303
125,170504
126,167055
127,117845
128,234553
129,204392
130,199727
131,170312
132,159577
133,174721
134,165600
135,172280
136,100187
137,235202
138,205703
139,196297
140,166183
141,164835
142,167942
143,172294
144,226043
145,171185
146,192472
147,186990
148,118452
149,240422
150,159293
151,161644
152,178140
153,166720
154,109859
155,236448
156,216984
157,156712
158,169491
159,171189
160,165497
161,170041
162,106751
163,236433
164,204760
165,188021
166,167834
167,169462
168,175463
169,170844
170,164200
171,121275
172,264565
173,199111
174,205810
175,159610
176,169677
177,161084
178,179540
179,160253
180,176391
181,102851
182,230988
183,213872
184,158574
185,170135
186,169860
187,168646
188,110731
189,231978
190,172388
191,190829
192,199978
193,162978
194,169169
195,176876
196,168745
197,113997
198,232515
199,249752
200,249608
201,192462
202,170391
203,104391
204,232533
205,160669
206,169602
207,167330
208,187942
209,198709
210,171664
211,117505
212,233442
213,157837
214,162068
215,170853
216,166649
217,213835
218,198513
219,160221
220,115429
221,233074
222,156129
223,169010
224,166286
225,167177
226,297721
227,194706
228,161023
229,168268
230,111776
231,252240
232,154706
233,172061
234,199302
235,207443
236,166780
237,166570
238,179489
239,168194
240,107843
241,238929
242,159451
243,194506
244,203030
245,175933
246,158681
247,166351
248,116922
249,235057
250,272822
251,196942
252,194720
253,191604
254,111627
255,243156
256,152598
257,169850
258,176348
259,165656
260,166136
261,192173
262,220282
263,103257
264,234614
265,165600
266,162012
267,183081
268,162721
269,98839
270,238645
271,206799
272,170269
273,256980
274,152425
275,170755
276,174921
277,173479
278,161354
279,210736
280,213344
281,156475
282,167335
283,119655
284,237403
285,160911
286,157799
287,172075
288,192766
289,209743
290,164107
291,111669
292,237455
293,151604
294,181961
295,165073
296,206188
297,185124
298,308946
299,143557
300,176937
301,173037
302,167415
303,112923
304,231334
305,161041
306,196218
307,204877
308,163570
309,173008
310,163790
311,107586
312,241155
313,153096
314,174888
315,197016
316,203132
317,165996
318,170975
319,172350
320,109355
321,246034
322,243427
323,154063
324,204173
325,199153
326,173270
327,166808
328,162521
329,174875
330,161070
331,124662
332,237619
333,203473
334,211810
335,159591
336,172028
337,165651
338,171851
339,163309
340,113236
341,238477
342,203701
343,193807
344,284211
345,150946
346,119301
347,247807
348,156274
349,164163
350,199012
351,207256
352,163911
353,166202
354,168137
355,115004
356,233341
357,154631
358,168474
359,191217
360,210163
361,165819
362,167172
363,206897
364,157865
365,164862
366,174305
367,189617
368,212930
369,199437
370,167802
371,170372
372,170517
373,104410
374,243767
375,156810
376,160268
377,206267
378,194893
379,170209
380,164653
381,168945
382,114856
383,234269
384,162814
385,257292
386,203314
387,210714
388,158593
389,166295
390,169700
391,162558
392,178499
393,106010
394,237426
395,211400
396,169085
397,177879
398,162241
399,170116
400,174404
401,98060
402,253219
403,160869
404,315944
405,215691
406,162325
407,166976
408,98331
409,246907
410,150535
411,161340
412,204816
413,200669
414,155084
415,171800
416,114071
417,242274
418,148198
419,173475
420,168110
421,206729
422,204919
423,178406
424,92027
425,250966
426,159110
427,160100
428,175210
429,167256
430,201560
431,207229
432,161513
433,114561
434,238883
435,156372
436,174431
437,159657
438,167960
439,196027
440,209780
441,169001
442,98820
443,248983
444,292272
445,169463
446,99366
447,253550
448,203692
449,174679
450,154781
451,173843
452,175672
453,159610
454,117033
455,240940
456,229268
457,254073
458,148306
459,116857
460,246734
461,164980
462,164182
463,177062
464,212174
465,205978
466,181052
467,159054
468,168656
469,96521
470,260768
471,157534
472,164885
473,198710
474,209588
475,273065
476,156843
477,172948
478,163137
479,173508
480,98172
481,243235
482,294078
483,155863
484,101288
485,263469
486,156871
487,170172
488,174090
489,162152
490,220613
491,297805
492,150078
493,172103
494,171180
495,168096
496,165077
497,116553
498,241891
499,212915
500,167265
501,173848
502,183324
503,160174
504,168077
505,90521
506,248647
507,218742
508,291474
509,201882
510,161900
511,172835
512,108958
513,250774
514,155570
515,198435
516,222428
517,162983
518,174151
519,177800
520,161737
521,100743
522,256232
523,162212
524,202769
525,194375
526,166244
527,252603
528,175444
529,164083
530,167713
531,175714
532,172164
533,204368
534,198779
535,161877
536,119068
537,249333
538,156591
539,168665
540,170055
541,170578
542,216050
543,207014
544,173116
545,176829
546,166052
547,165058
548,177142
549,167615
550,166239
551,213653
552,211161
553,178341
554,158205
555,105562
556,254297
557,163239
558,175351
559,169556
560,193993
561,328577
562,162796
563,166897
564,165730
565,168656
566,177883
567,158998
568,227233
569,217333
570,171199
571,97532
572,263151
573,166220
574,181639
575,238976
576,159507
577,235831
578,209305
579,163379
580,170876
581,168964
582,163552
583,166337
584,106187
585,246062
586,215574
587,215337
588,154878
589,285447
590,147120
591,194814
592,155597
593,167461
594,199606
595,224699
596,173848
597,156307
598,174063
599,97682
600,257031
601,156904
602,175289
603,208390
604,201854
605,167872
606,257264
607,158985
608,169047
609,168422
610,169332
611,208913
612,214409
613,160841
614,111450
615,254548
616,162670
617,167825
618,169154
619,155863
620,217277
621,290966
622,153097
623,180655
624,159969
625,104447
626,271479
627,161620
628,203618
629,216937
630,169962
631,163701
632,165670
633,164998
634,179596
635,95559
636,242629
637,214856
638,201947
639,272785
640,211515
641,169654
642,158429
643,102846
644,260642
645,222451
646,208138
647,173956
648,168660
649,159726
650,164424
651,182022
652,164047
653,210312
654,299294
655,154557
656,180319
657,163043
658,88991
659,254236
660,170116
661,213424
662,204630
663,168315
664,160445
665,180478
666,160444
667,96917
668,259694
669,285326
670,254749
671,205726
672,177622
673,159447
674,168194
675,163426
676,108739
677,242414
678,226011
679,214287
680,168179
681,168245
682,249926
683,162502
684,191781
685,166047
686,208264
687,225941
688,175593
689,156082
690,170274
691,159334
692,115285
693,244299
694,191445
695,203799
696,311806
697,204966
698,167811
699,90881
700,262844
701,160440
702,164345
703,192738
704,213606
705,170167
706,168683
