Frame Count,Frame Time (ns)
0,1097449
1,665483
2,11004870
3,1423199
4,1316676
5,1182852
6,1194794
7,1194898
8,1104913
9,1209532
10,1160920
11,1143309
12,1070581
13,1178103
14,1163990
15,1178462
16,1085808
17,1191832
18,1153069
19,1152523
20,1056688
21,1216414
22,1202539
23,1198080
24,1093917
25,1211147
26,1194100
27,1197309
28,1185189
29,1243981
30,1111328
31,1230773
32,1171123
33,1195723
34,1212653
35,1147619
36,1243058
37,1265181
38,1215541
39,1228576
40,1250890
41,1330929
42,1165109
43,1251623
44,1251348
45,1225259
46,1265866
47,1262246
48,1281658
49,1268759
50,1252696
51,1200421
52,1273414
53,1262335
54,1306935
55,1306809
56,1286613
57,1307602
58,1274968
59,1320968
60,1271787
61,1322974
62,1275131
63,1361089
64,1190264
65,1302349
66,1279657
67,1320875
68,1266272
69,1329245
70,1324859
71,1288484
72,1282726
73,1304443
74,1258098
75,1273097
76,1171557
77,1262525
78,1294842
79,1263127
80,1219432
81,1260701
82,1374582
83,1269729
84,1261677
85,1367285
86,1298668
87,1325269
88,1327742
89,1323646
90,1330644
91,1231502
92,1337754
93,1306141
94,1336569
95,1366655
96,1205912
97,1351805
98,1242119
99,1231482
100,1278691
101,1313910
102,1281859
103,1331120
104,1224751
105,1173847
106,1229864
107,1244807
108,1175607
109,1257315
110,1215309
111,1287751
112,1119091
113,1214790
114,1270037
115,1108235
116,1175779
117,1197576
118,1141620
119,1175280
120,1160406
121,1028752
122,1168240
123,1067162
124,983820
125,1001828
126,1001726
127,1102025
128,1090950
129,1036240
130,1200155
131,1031775
132,1130022
133,1016482
134,1082282
135,1020648
136,1084955
137,946745
138,1078802
139,913230
140,1039150
141,948079
142,855912
143,847789
144,726006
145,857698
146,732971
147,858249
148,700748
149,623075
150,692663
151,722829
152,523802
153,596753
154,559193
155,623370
156,578675
157,591533
158,499920
159,454667
160,547212
161,515363
162,551841
163,529414
164,429083
165,442169
166,519822
167,379873
168,523191
169,514285
170,440125
171,374358
172,384183
173,442775
174,501814
175,360679
176,485262
177,426843
178,418198
179,385690
180,387290
181,431662
182,406763
183,378613
184,357638
185,475013
186,586415
187,383246
188,405621
189,409511
190,498353
191,340666
192,400214
193,445014
194,415175
195,355656
196,437932
197,432241
198,437139
199,415586
200,380181
201,428826
202,496332
203,340782
204,393696
205,412399
206,442826
207,488793
208,342023
209,450958
210,420848
211,399747
212,362914
213,402547
214,426922
215,358258
216,376836
217,405929
218,407072
219,359816
220,462934
221,412213
222,412357
223,353350
224,332996
225,391065
226,398632
227,329054
228,275267
229,336849
230,392353
231,412305
232,266035
233,373845
234,321062
235,432208
236,302120
237,451341
238,340026
239,426410
240,392264
241,352580
242,340708
243,298057
244,414676
245,332819
246,357796
247,280805
248,400167
249,403012
250,333583
251,255953
252,355039
253,372142
254,411172
255,271553
256,470141
257,323464
258,404931
259,382192
260,325415
261,301006
262,344971
263,381725
264,399304
265,283128
266,376117
267,340185
268,392469
269,394788
270,313037
271,361780
272,324038
273,387683
274,390094
275,260604
276,312776
277,265130
278,488043
279,371051
280,348858
281,336527
282,269533
283,403372
284,369614
285,277492
286,312118
287,265410
288,389913
289,367589
290,346129
291,269926
292,378837
293,397824
294,391998
295,369465
296,281076
297,403923
298,378188
299,325200
300,253523
301,273009
302,402961
303,392469
304,346907
305,456398
306,327677
307,398809
308,407650
309,355879
310,275855
311,366674
312,389921
313,403703
314,275976
315,338589
316,304570
317,325812
318,401809
319,351969
320,271647
321,333593
322,383134
323,414941
324,355567
325,264164
326,361449
327,392329
328,411084
329,272482
330,345331
331,336318
332,313752
333,423358
334,420605
335,322933
336,344282
337,380852
338,330644
339,342779
340,337236
341,288904
342,406983
343,390523
344,347790
345,345718
346,263142
347,427384
348,394218
349,364025
350,269841
351,334311
352,396523
353,383437
354,264280
355,337026
356,248652
357,420149
358,363465
359,343656
360,272025
361,361617
362,363628
363,395241
364,257502
365,338421
366,281383
367,510142
368,396112
369,362597
370,353453
371,394498
372,410519
373,338211
374,356770
375,270597
376,416286
377,379821
378,334973
379,272043
380,342163
381,391811
382,401608
383,293098
384,367925
385,356537
