Frame Count,Frame Time (ns)
0,1616343
1,1042020
2,11453766
3,2057373
4,1792799
5,1668361
6,1767756
7,1734417
8,1699105
9,1733978
10,1674664
11,2084936
12,1793685
13,1912865
14,1823473
15,1817473
16,1687269
17,1823516
18,1761746
19,1898146
20,1867635
21,2253330
22,1876681
23,1950832
24,1881818
25,2083942
26,2061689
27,1915380
28,2087908
29,1901822
30,2157421
31,1901421
32,1994265
33,2255919
34,2310405
35,2139016
36,2005229
37,2164806
38,2180411
39,2034653
40,2380655
41,2116534
42,2273376
43,2366996
44,2394651
45,2439858
46,2497293
47,2351545
48,2412926
49,2577569
50,2626294
51,2436593
52,2526978
53,2610179
54,2907751
55,2723089
56,2644250
57,2564496
58,2396201
59,2497648
60,2471247
61,2623784
62,2598750
63,2507156
64,2728012
65,2538297
66,2506097
67,2616487
68,2706154
69,2763738
70,2607563
71,2752434
72,3415351
73,2858929
74,2834483
75,2986278
76,2989123
77,2911334
78,2990322
79,2499719
80,2702833
81,2833909
82,2826860
83,2675647
84,3005340
85,2752900
86,2762320
87,3143918
88,2962531
89,2750130
90,2728646
91,2718177
92,3017363
93,2822330
94,3104875
95,2958286
96,2818999
97,3013598
98,2875150
99,2573813
100,2698172
101,2556776
102,2509157
103,2594163
104,2834016
105,2752476
106,2569251
107,2672680
108,2598185
109,2656389
110,2617560
111,2626041
112,2741013
113,2783547
114,2706281
115,2635474
116,2633776
117,2862307
118,2881644
119,2613095
120,2480185
121,2669723
122,2508177
123,2458463
124,2662034
125,2751375
126,2749424
127,2657854
128,2737025
129,2213997
130,2700458
131,2687530
132,2521035
133,2472101
134,2762432
135,2642659
136,2750087
137,2705352
138,2508369
139,2525074
140,2351031
141,2438804
142,2247750
143,2584585
144,2195387
145,2224624
146,2850761
147,2213082
148,2292346
149,2396033
150,2270069
151,2372706
152,2169233
153,2305894
154,2442065
155,2427756
156,2432240
157,2451093
158,2364514
159,2382125
160,2458678
161,2399214
162,2327349
163,2294721
164,2251674
165,2361043
166,2262893
167,2285002
168,2323477
169,2599281
170,2052917
171,2148855
172,2608682
173,2105533
174,2112386
175,2568546
176,2653338
177,2175312
178,2144596
179,2117281
180,2479117
181,2183463
182,2044455
183,2526792
184,2164185
185,2114196
186,1881118
187,2082743
188,2083728
189,2243364
190,1907533
191,2133954
192,2226196
193,2041903
194,1935482
195,2135414
196,2131686
197,2579752
198,1903884
199,2040139
200,2137835
201,2473463
202,2463772
203,2199558
204,2197659
205,2194860
206,2257039
207,2020722
208,2271068
209,1931386
210,2022542
211,1806342
212,2176236
213,2092106
214,1756382
215,1894297
216,1940675
217,1869309
218,2048607
219,2070291
220,2094761
221,2095885
222,1929646
223,2117602
224,2028270
225,2150068
226,1865913
227,1694197
228,2085896
229,1848237
230,2161843
231,1984160
232,2109251
233,1658307
234,1821607
235,1997265
236,1759344
237,1783454
238,2098129
239,1935478
240,1847527
241,1860865
242,1714720
243,1863712
244,1991233
245,2009629
246,1846464
247,2782815
248,1919695
249,2106998
250,1974288
251,1746005
252,1829263
253,1881673
254,2091793
255,1679045
256,1684335
257,1607702
258,1795355
259,1765287
260,1796256
261,2452385
262,2080070
263,1707316
264,1838267
265,1716077
266,1791059
267,1754189
268,2103438
269,1909175
270,1976108
271,1893042
272,1781578
273,1939630
274,1744536
275,1786748
276,1790569
277,1622380
278,1879811
279,1879093
280,1979640
281,1924808
282,1864523
283,1690754
284,1839344
285,1937927
286,1964734
287,1755710
288,2072293
289,1684746
290,1957382
291,1931008
292,1814459
293,1964524
294,2096949
295,2189635
296,1633334
297,1894241
298,1788931
299,1923707
300,1791683
301,1700108
302,1770097
303,2018227
304,1971583
305,1663439
306,1858994
307,1697692
308,1777012
309,1857077
310,1941043
311,1775597
312,2257315
313,2314455
314,2022710
315,1844966
316,1819401
317,1839056
318,1789346
319,1827485
320,1661209
321,1679432
322,1883647
323,1859793
324,1716306
325,1675252
326,1664750
327,1929535
328,1967192
329,1790335
330,1962042
331,2031467
332,1928452
333,1972058
334,1951461
335,1797095
336,2015945
337,1870005
338,2060252
339,1894395
340,1958221
341,1821891
342,1989679
343,1844313
344,2007986
345,1726733
346,1818733
347,1784228
348,1992595
349,1628524
350,1844206
351,1829305
352,1892763
353,1778532
354,1836107
355,2034747
356,1904417
357,1969184
358,1868237
359,1945802
360,2109401
361,1787350
362,1789528
363,1883110
364,2057653
365,1809869
366,1853387
367,1604600
368,2159520
369,1982668
370,2005177
371,1967627
372,1947094
373,1843091
374,1990043
375,1808992
376,1640384
377,2036397
378,1872430
379,2137281
380,1896513
